# JD  RA Dec
2454794.500000000     239.85769 -20.55157
2454795.500000000     240.91762 -20.75039
2454796.500000000     241.98073 -20.94278
2454797.500000000     243.04695 -21.12862
2454798.500000000     244.11619 -21.30784
2454799.500000000     245.18837 -21.48033
2454800.500000000     246.26339 -21.64602
2454801.500000000     247.34116 -21.80483
2454802.500000000     248.42158 -21.95666
2454803.500000000     249.50454 -22.10145
2454804.500000000     250.58995 -22.23913
2454805.500000000     251.67768 -22.36961
2454806.500000000     252.76763 -22.49285
2454807.500000000     253.85968 -22.60877
2454808.500000000     254.95373 -22.71732
2454809.500000000     256.04966 -22.81844
2454810.500000000     257.14737 -22.91208
2454811.500000000     258.24673 -22.99820
2454812.500000000     259.34766 -23.07674
2454813.500000000     260.45004 -23.14767
2454814.500000000     261.55378 -23.21095
2454815.500000000     262.65876 -23.26654
2454816.500000000     263.76487 -23.31440
2454817.500000000     264.87199 -23.35450
2454818.500000000     265.98000 -23.38682
2454819.500000000     267.08876 -23.41133
2454820.500000000     268.19813 -23.42801
2454821.500000000     269.30797 -23.43684
2454822.500000000     270.41812 -23.43783
2454823.500000000     271.52843 -23.43095
2454824.500000000     272.63876 -23.41621
2454825.500000000     273.74894 -23.39362
2454826.500000000     274.85883 -23.36318
2454827.500000000     275.96825 -23.32491
2454828.500000000     277.07707 -23.27882
2454829.500000000     278.18511 -23.22494
2454830.500000000     279.29224 -23.16330
2454831.500000000     280.39830 -23.09392
2454832.500000000     281.50316 -23.01685
2454833.500000000     282.60665 -22.93214
2454834.500000000     283.70864 -22.83981
2454835.500000000     284.80899 -22.73993
2454836.500000000     285.90758 -22.63254
2454837.500000000     287.00429 -22.51770
2454838.500000000     288.09900 -22.39547
2454839.500000000     289.19161 -22.26591
2454840.500000000     290.28202 -22.12909
2454841.500000000     291.37014 -21.98506
2454842.500000000     292.45590 -21.83389
2454843.500000000     293.53923 -21.67565
2454844.500000000     294.62005 -21.51041
2454845.500000000     295.69830 -21.33824
2454846.500000000     296.77391 -21.15921
2454847.500000000     297.84682 -20.97341
2454848.500000000     298.91696 -20.78091
2454849.500000000     299.98425 -20.58181
2454850.500000000     301.04864 -20.37619
2454851.500000000     302.11006 -20.16414
2454852.500000000     303.16844 -19.94576
2454853.500000000     304.22373 -19.72115
2454854.500000000     305.27587 -19.49041
2454855.500000000     306.32480 -19.25365
2454856.500000000     307.37049 -19.01096
2454857.500000000     308.41289 -18.76246
2454858.500000000     309.45195 -18.50826
2454859.500000000     310.48763 -18.24847
2454860.500000000     311.51991 -17.98320
2454861.500000000     312.54876 -17.71258
2454862.500000000     313.57416 -17.43671
2454863.500000000     314.59609 -17.15571
2454864.500000000     315.61453 -16.86971
2454865.500000000     316.62950 -16.57881
2454866.500000000     317.64098 -16.28313
2454867.500000000     318.64900 -15.98279
2454868.500000000     319.65357 -15.67790
2454869.500000000     320.65473 -15.36857
2454870.500000000     321.65251 -15.05492
2454871.500000000     322.64696 -14.73704
2454872.500000000     323.63813 -14.41504
2454873.500000000     324.62608 -14.08904
2454874.500000000     325.61085 -13.75914
2454875.500000000     326.59250 -13.42544
2454876.500000000     327.57109 -13.08806
2454877.500000000     328.54667 -12.74711
2454878.500000000     329.51929 -12.40269
2454879.500000000     330.48900 -12.05493
2454880.500000000     331.45586 -11.70394
2454881.500000000     332.41992 -11.34984
2454882.500000000     333.38123 -10.99274
2454883.500000000     334.33984 -10.63276
2454884.500000000     335.29581 -10.27002
2454885.500000000     336.24920  -9.90463
2454886.500000000     337.20005  -9.53672
2454887.500000000     338.14842  -9.16640
2454888.500000000     339.09437  -8.79380
2454889.500000000     340.03796  -8.41903
2454890.500000000     340.97924  -8.04221
2454891.500000000     341.91827  -7.66347
2454892.500000000     342.85512  -7.28291
2454893.500000000     343.78984  -6.90066
2454894.500000000     344.72251  -6.51682
2454895.500000000     345.65321  -6.13151
2454896.500000000     346.58200  -5.74484
2454897.500000000     347.50898  -5.35690
2454898.500000000     348.43423  -4.96781
2454899.500000000     349.35786  -4.57766
2454900.500000000     350.27994  -4.18654
2454901.500000000     351.20060  -3.79456
2454902.500000000     352.11992  -3.40181
2454903.500000000     353.03801  -3.00839
2454904.500000000     353.95496  -2.61439
2454905.500000000     354.87088  -2.21991
2454906.500000000     355.78586  -1.82505
2454907.500000000     356.70000  -1.42991
2454908.500000000     357.61337  -1.03459
2454909.500000000     358.52607  -0.63919
2454910.500000000     359.43818  -0.24382
2454911.500000000       0.34979   0.15142
2454912.500000000       1.26099   0.54642
2454913.500000000       2.17184   0.94109
2454914.500000000       3.08243   1.33532
2454915.500000000       3.99283   1.72900
2454916.500000000       4.90312   2.12202
2454917.500000000       5.81336   2.51429
2454918.500000000       6.72363   2.90569
2454919.500000000       7.63399   3.29611
2454920.500000000       8.54450   3.68545
2454921.500000000       9.45523   4.07362
2454922.500000000      10.36625   4.46049
2454923.500000000      11.27763   4.84599
2454924.500000000      12.18945   5.23000
2454925.500000000      13.10178   5.61243
2454926.500000000      14.01470   5.99320
2454927.500000000      14.92830   6.37221
2454928.500000000      15.84266   6.74938
2454929.500000000      16.75788   7.12461
2454930.500000000      17.67403   7.49783
2454931.500000000      18.59122   7.86893
2454932.500000000      19.50953   8.23784
2454933.500000000      20.42904   8.60447
2454934.500000000      21.34984   8.96873
2454935.500000000      22.27200   9.33053
2454936.500000000      23.19560   9.68977
2454937.500000000      24.12072  10.04636
2454938.500000000      25.04742  10.40021
2454939.500000000      25.97577  10.75123
2454940.500000000      26.90583  11.09933
2454941.500000000      27.83765  11.44439
2454942.500000000      28.77129  11.78634
2454943.500000000      29.70680  12.12508
2454944.500000000      30.64423  12.46049
2454945.500000000      31.58360  12.79250
2454946.500000000      32.52496  13.12100
2454947.500000000      33.46833  13.44589
2454948.500000000      34.41374  13.76708
2454949.500000000      35.36120  14.08447
2454950.500000000      36.31073  14.39796
2454951.500000000      37.26237  14.70747
2454952.500000000      38.21612  15.01291
2454953.500000000      39.17202  15.31418
2454954.500000000      40.13009  15.61120
2454955.500000000      41.09036  15.90390
2454956.500000000      42.05286  16.19218
2454957.500000000      43.01763  16.47597
2454958.500000000      43.98468  16.75520
2454959.500000000      44.95406  17.02977
2454960.500000000      45.92578  17.29961
2454961.500000000      46.89988  17.56465
2454962.500000000      47.87638  17.82479
2454963.500000000      48.85528  18.07998
2454964.500000000      49.83661  18.33012
2454965.500000000      50.82036  18.57513
2454966.500000000      51.80656  18.81495
2454967.500000000      52.79518  19.04948
2454968.500000000      53.78622  19.27866
2454969.500000000      54.77967  19.50241
2454970.500000000      55.77552  19.72064
2454971.500000000      56.77373  19.93329
2454972.500000000      57.77427  20.14028
2454973.500000000      58.77711  20.34153
2454974.500000000      59.78220  20.53697
2454975.500000000      60.78948  20.72654
2454976.500000000      61.79889  20.91015
2454977.500000000      62.81036  21.08775
2454978.500000000      63.82383  21.25928
2454979.500000000      64.83921  21.42466
2454980.500000000      65.85644  21.58385
2454981.500000000      66.87544  21.73679
2454982.500000000      67.89616  21.88342
2454983.500000000      68.91852  22.02370
2454984.500000000      69.94247  22.15759
2454985.500000000      70.96793  22.28503
2454986.500000000      71.99486  22.40599
2454987.500000000      73.02318  22.52042
2454988.500000000      74.05283  22.62828
2454989.500000000      75.08376  22.72955
2454990.500000000      76.11589  22.82417
2454991.500000000      77.14915  22.91212
2454992.500000000      78.18348  22.99337
2454993.500000000      79.21880  23.06789
2454994.500000000      80.25504  23.13564
2454995.500000000      81.29210  23.19661
2454996.500000000      82.32992  23.25076
2454997.500000000      83.36840  23.29808
2454998.500000000      84.40746  23.33856
2454999.500000000      85.44700  23.37216
2455000.500000000      86.48692  23.39888
2455001.500000000      87.52713  23.41871
2455002.500000000      88.56752  23.43164
2455003.500000000      89.60797  23.43767
2455004.500000000      90.64838  23.43680
2455005.500000000      91.68861  23.42903
2455006.500000000      92.72854  23.41436
2455007.500000000      93.76805  23.39282
2455008.500000000      94.80703  23.36441
2455009.500000000      95.84535  23.32916
2455010.500000000      96.88290  23.28708
2455011.500000000      97.91960  23.23819
2455012.500000000      98.95533  23.18253
2455013.500000000      99.99002  23.12011
2455014.500000000     101.02358  23.05097
2455015.500000000     102.05593  22.97513
2455016.500000000     103.08699  22.89263
2455017.500000000     104.11669  22.80351
2455018.500000000     105.14497  22.70778
2455019.500000000     106.17175  22.60550
2455020.500000000     107.19697  22.49670
2455021.500000000     108.22057  22.38143
2455022.500000000     109.24249  22.25972
2455023.500000000     110.26268  22.13161
2455024.500000000     111.28107  21.99716
2455025.500000000     112.29762  21.85642
2455026.500000000     113.31227  21.70942
2455027.500000000     114.32496  21.55623
2455028.500000000     115.33566  21.39691
2455029.500000000     116.34430  21.23149
2455030.500000000     117.35084  21.06006
2455031.500000000     118.35521  20.88266
2455032.500000000     119.35738  20.69938
2455033.500000000     120.35727  20.51027
2455034.500000000     121.35484  20.31541
2455035.500000000     122.35002  20.11487
2455036.500000000     123.34277  19.90874
2455037.500000000     124.33302  19.69710
2455038.500000000     125.32076  19.48001
2455039.500000000     126.30594  19.25757
2455040.500000000     127.28854  19.02984
2455041.500000000     128.26855  18.79692
2455042.500000000     129.24596  18.55887
2455043.500000000     130.22077  18.31577
2455044.500000000     131.19298  18.06771
2455045.500000000     132.16260  17.81475
2455046.500000000     133.12965  17.55698
2455047.500000000     134.09414  17.29447
2455048.500000000     135.05609  17.02731
2455049.500000000     136.01553  16.75556
2455050.500000000     136.97248  16.47930
2455051.500000000     137.92698  16.19862
2455052.500000000     138.87906  15.91360
2455053.500000000     139.82876  15.62430
2455054.500000000     140.77612  15.33082
2455055.500000000     141.72117  15.03323
2455056.500000000     142.66395  14.73161
2455057.500000000     143.60452  14.42604
2455058.500000000     144.54289  14.11662
2455059.500000000     145.47912  13.80343
2455060.500000000     146.41324  13.48655
2455061.500000000     147.34528  13.16608
2455062.500000000     148.27528  12.84212
2455063.500000000     149.20326  12.51475
2455064.500000000     150.12925  12.18409
2455065.500000000     151.05329  11.85022
2455066.500000000     151.97540  11.51324
2455067.500000000     152.89564  11.17325
2455068.500000000     153.81404  10.83034
2455069.500000000     154.73065  10.48461
2455070.500000000     155.64555  10.13614
2455071.500000000     156.55878   9.78503
2455072.500000000     157.47041   9.43136
2455073.500000000     158.38052   9.07522
2455074.500000000     159.28917   8.71670
2455075.500000000     160.19644   8.35587
2455076.500000000     161.10241   7.99283
2455077.500000000     162.00716   7.62766
2455078.500000000     162.91077   7.26045
2455079.500000000     163.81333   6.89127
2455080.500000000     164.71493   6.52021
2455081.500000000     165.61565   6.14735
2455082.500000000     166.51559   5.77278
2455083.500000000     167.41482   5.39658
2455084.500000000     168.31346   5.01884
2455085.500000000     169.21157   4.63964
2455086.500000000     170.10926   4.25907
2455087.500000000     171.00661   3.87722
2455088.500000000     171.90369   3.49418
2455089.500000000     172.80058   3.11006
2455090.500000000     173.69737   2.72494
2455091.500000000     174.59411   2.33892
2455092.500000000     175.49089   1.95212
2455093.500000000     176.38775   1.56463
2455094.500000000     177.28477   1.17655
2455095.500000000     178.18201   0.78799
2455096.500000000     179.07954   0.39904
2455097.500000000     179.97744   0.00981
2455098.500000000     180.87579  -0.37961
2455099.500000000     181.77465  -0.76911
2455100.500000000     182.67412  -1.15861
2455101.500000000     183.57427  -1.54802
2455102.500000000     184.47520  -1.93723
2455103.500000000     185.37699  -2.32615
2455104.500000000     186.27973  -2.71470
2455105.500000000     187.18351  -3.10277
2455106.500000000     188.08842  -3.49027
2455107.500000000     188.99457  -3.87712
2455108.500000000     189.90204  -4.26323
2455109.500000000     190.81094  -4.64848
2455110.500000000     191.72136  -5.03281
2455111.500000000     192.63340  -5.41611
2455112.500000000     193.54716  -5.79829
2455113.500000000     194.46274  -6.17924
2455114.500000000     195.38022  -6.55888
2455115.500000000     196.29971  -6.93711
2455116.500000000     197.22127  -7.31381
2455117.500000000     198.14500  -7.68888
2455118.500000000     199.07097  -8.06222
2455119.500000000     199.99924  -8.43370
2455120.500000000     200.92988  -8.80323
2455121.500000000     201.86295  -9.17069
2455122.500000000     202.79850  -9.53595
2455123.500000000     203.73659  -9.89891
2455124.500000000     204.67726 -10.25945
2455125.500000000     205.62057 -10.61746
2455126.500000000     206.56657 -10.97283
2455127.500000000     207.51532 -11.32544
2455128.500000000     208.46686 -11.67519
2455129.500000000     209.42126 -12.02196
2455130.500000000     210.37856 -12.36564
2455131.500000000     211.33882 -12.70613
2455132.500000000     212.30210 -13.04332
2455133.500000000     213.26844 -13.37710
2455134.500000000     214.23790 -13.70735
2455135.500000000     215.21053 -14.03398
2455136.500000000     216.18639 -14.35687
2455137.500000000     217.16553 -14.67593
2455138.500000000     218.14800 -14.99103
2455139.500000000     219.13386 -15.30209
2455140.500000000     220.12315 -15.60897
2455141.500000000     221.11592 -15.91159
2455142.500000000     222.11222 -16.20983
2455143.500000000     223.11209 -16.50358
2455144.500000000     224.11554 -16.79273
2455145.500000000     225.12261 -17.07715
2455146.500000000     226.13329 -17.35675
2455147.500000000     227.14761 -17.63140
2455148.500000000     228.16553 -17.90099
2455149.500000000     229.18707 -18.16540
2455150.500000000     230.21218 -18.42452
2455151.500000000     231.24085 -18.67823
2455152.500000000     232.27303 -18.92643
2455153.500000000     233.30871 -19.16900
2455154.500000000     234.34782 -19.40584
2455155.500000000     235.39033 -19.63684
2455156.500000000     236.43619 -19.86190
2455157.500000000     237.48535 -20.08092
2455158.500000000     238.53776 -20.29380
2455159.500000000     239.59337 -20.50044
2455160.500000000     240.65211 -20.70075
2455161.500000000     241.71392 -20.89463
2455162.500000000     242.77875 -21.08200
2455163.500000000     243.84653 -21.26278
2455164.500000000     244.91719 -21.43687
2455165.500000000     245.99066 -21.60419
2455166.500000000     247.06689 -21.76466
2455167.500000000     248.14579 -21.91822
2455168.500000000     249.22731 -22.06477
2455169.500000000     250.31137 -22.20425
2455170.500000000     251.39790 -22.33659
2455171.500000000     252.48681 -22.46171
2455172.500000000     253.57803 -22.57955
2455173.500000000     254.67143 -22.69005
2455174.500000000     255.76694 -22.79313
2455175.500000000     256.86441 -22.88875
2455176.500000000     257.96374 -22.97685
2455177.500000000     259.06478 -23.05737
2455178.500000000     260.16740 -23.13027
2455179.500000000     261.27146 -23.19550
2455180.500000000     262.37680 -23.25303
2455181.500000000     263.48328 -23.30282
2455182.500000000     264.59074 -23.34485
2455183.500000000     265.69903 -23.37909
2455184.500000000     266.80799 -23.40552
2455185.500000000     267.91747 -23.42412
2455186.500000000     269.02732 -23.43489
2455187.500000000     270.13738 -23.43782
2455188.500000000     271.24749 -23.43290
2455189.500000000     272.35752 -23.42014
2455190.500000000     273.46730 -23.39954
2455191.500000000     274.57670 -23.37112
2455192.500000000     275.68558 -23.33489
2455193.500000000     276.79379 -23.29087
2455194.500000000     277.90122 -23.23908
2455195.500000000     279.00772 -23.17954
2455196.500000000     280.11319 -23.11228
2455197.500000000     281.21751 -23.03733
2455198.500000000     282.32058 -22.95473
2455199.500000000     283.42229 -22.86450
2455200.500000000     284.52253 -22.76668
2455201.500000000     285.62121 -22.66133
2455202.500000000     286.71821 -22.54849
2455203.500000000     287.81342 -22.42820
2455204.500000000     288.90673 -22.30052
2455205.500000000     289.99802 -22.16553
2455206.500000000     291.08719 -22.02327
2455207.500000000     292.17411 -21.87382
2455208.500000000     293.25869 -21.71726
2455209.500000000     294.34081 -21.55365
2455210.500000000     295.42037 -21.38309
2455211.500000000     296.49726 -21.20565
2455212.500000000     297.57141 -21.02143
2455213.500000000     298.64270 -20.83051
2455214.500000000     299.71107 -20.63298
2455215.500000000     300.77643 -20.42894
2455216.500000000     301.83871 -20.21849
2455217.500000000     302.89785 -20.00172
2455218.500000000     303.95377 -19.77875
2455219.500000000     305.00643 -19.54966
2455220.500000000     306.05579 -19.31456
2455221.500000000     307.10179 -19.07356
2455222.500000000     308.14442 -18.82676
2455223.500000000     309.18364 -18.57427
2455224.500000000     310.21945 -18.31618
2455225.500000000     311.25184 -18.05261
2455226.500000000     312.28082 -17.78364
2455227.500000000     313.30639 -17.50939
2455228.500000000     314.32859 -17.22996
2455229.500000000     315.34742 -16.94545
2455230.500000000     316.36290 -16.65596
2455231.500000000     317.37506 -16.36160
2455232.500000000     318.38392 -16.06248
2455233.500000000     319.38948 -15.75872
2455234.500000000     320.39177 -15.45043
2455235.500000000     321.39080 -15.13772
2455236.500000000     322.38660 -14.82072
2455237.500000000     323.37917 -14.49954
2455238.500000000     324.36855 -14.17430
2455239.500000000     325.35476 -13.84513
2455240.500000000     326.33783 -13.51214
2455241.500000000     327.31778 -13.17545
2455242.500000000     328.29465 -12.83520
2455243.500000000     329.26847 -12.49149
2455244.500000000     330.23927 -12.14445
2455245.500000000     331.20711 -11.79420
2455246.500000000     332.17202 -11.44087
2455247.500000000     333.13405 -11.08456
2455248.500000000     334.09324 -10.72540
2455249.500000000     335.04966 -10.36351
2455250.500000000     336.00337  -9.99900
2455251.500000000     336.95442  -9.63198
2455252.500000000     337.90290  -9.26257
2455253.500000000     338.84886  -8.89087
2455254.500000000     339.79241  -8.51699
2455255.500000000     340.73362  -8.14102
2455256.500000000     341.67259  -7.76307
2455257.500000000     342.60942  -7.38325
2455258.500000000     343.54420  -7.00164
2455259.500000000     344.47703  -6.61835
2455260.500000000     345.40799  -6.23349
2455261.500000000     346.33718  -5.84716
2455262.500000000     347.26468  -5.45947
2455263.500000000     348.19057  -5.07053
2455264.500000000     349.11493  -4.68043
2455265.500000000     350.03784  -4.28931
2455266.500000000     350.95939  -3.89725
2455267.500000000     351.87963  -3.50438
2455268.500000000     352.79866  -3.11080
2455269.500000000     353.71653  -2.71663
2455270.500000000     354.63334  -2.32197
2455271.500000000     355.54915  -1.92693
2455272.500000000     356.46403  -1.53163
2455273.500000000     357.37806  -1.13616
2455274.500000000     358.29131  -0.74065
2455275.500000000     359.20384  -0.34520
2455276.500000000       0.11574   0.05010
2455277.500000000       1.02707   0.44512
2455278.500000000       1.93792   0.83977
2455279.500000000       2.84836   1.23395
2455280.500000000       3.75847   1.62756
2455281.500000000       4.66834   2.02050
2455282.500000000       5.57806   2.41268
2455283.500000000       6.48773   2.80402
2455284.500000000       7.39744   3.19441
2455285.500000000       8.30729   3.58377
2455286.500000000       9.21739   3.97201
2455287.500000000      10.12783   4.35905
2455288.500000000      11.03872   4.74479
2455289.500000000      11.95014   5.12914
2455290.500000000      12.86220   5.51201
2455291.500000000      13.77497   5.89331
2455292.500000000      14.68854   6.27293
2455293.500000000      15.60297   6.65077
2455294.500000000      16.51836   7.02675
2455295.500000000      17.43477   7.40076
2455296.500000000      18.35226   7.77271
2455297.500000000      19.27091   8.14249
2455298.500000000      20.19078   8.51000
2455299.500000000      21.11192   8.87515
2455300.500000000      22.03439   9.23783
2455301.500000000      22.95825   9.59795
2455302.500000000      23.88355   9.95541
2455303.500000000      24.81033  10.31010
2455304.500000000      25.73863  10.66193
2455305.500000000      26.66852  11.01081
2455306.500000000      27.60002  11.35663
2455307.500000000      28.53318  11.69931
2455308.500000000      29.46805  12.03874
2455309.500000000      30.40469  12.37485
2455310.500000000      31.34314  12.70755
2455311.500000000      32.28345  13.03674
2455312.500000000      33.22569  13.36234
2455313.500000000      34.16992  13.68428
2455314.500000000      35.11618  14.00246
2455315.500000000      36.06455  14.31680
2455316.500000000      37.01508  14.62723
2455317.500000000      37.96783  14.93365
2455318.500000000      38.92283  15.23597
2455319.500000000      39.88013  15.53413
2455320.500000000      40.83977  15.82801
2455321.500000000      41.80179  16.11755
2455322.500000000      42.76619  16.40264
2455323.500000000      43.73301  16.68321
2455324.500000000      44.70226  16.95916
2455325.500000000      45.67395  17.23042
2455326.500000000      46.64808  17.49688
2455327.500000000      47.62466  17.75847
2455328.500000000      48.60367  18.01510
2455329.500000000      49.58511  18.26668
2455330.500000000      50.56895  18.51314
2455331.500000000      51.55517  18.75439
2455332.500000000      52.54374  18.99034
2455333.500000000      53.53464  19.22092
2455334.500000000      54.52781  19.44605
2455335.500000000      55.52324  19.66566
2455336.500000000      56.52087  19.87968
2455337.500000000      57.52068  20.08803
2455338.500000000      58.52264  20.29065
2455339.500000000      59.52671  20.48747
2455340.500000000      60.53285  20.67844
2455341.500000000      61.54105  20.86347
2455342.500000000      62.55128  21.04253
2455343.500000000      63.56350  21.21555
2455344.500000000      64.57769  21.38246
2455345.500000000      65.59380  21.54322
2455346.500000000      66.61181  21.69777
2455347.500000000      67.63167  21.84604
2455348.500000000      68.65332  21.98800
2455349.500000000      69.67673  22.12359
2455350.500000000      70.70181  22.25275
2455351.500000000      71.72852  22.37545
2455352.500000000      72.75677  22.49162
2455353.500000000      73.78651  22.60124
2455354.500000000      74.81764  22.70425
2455355.500000000      75.85008  22.80063
2455356.500000000      76.88375  22.89032
2455357.500000000      77.91854  22.97330
2455358.500000000      78.95436  23.04953
2455359.500000000      79.99110  23.11899
2455360.500000000      81.02865  23.18166
2455361.500000000      82.06690  23.23751
2455362.500000000      83.10572  23.28652
2455363.500000000      84.14501  23.32868
2455364.500000000      85.18465  23.36398
2455365.500000000      86.22453  23.39240
2455366.500000000      87.26454  23.41395
2455367.500000000      88.30458  23.42862
2455368.500000000      89.34456  23.43642
2455369.500000000      90.38439  23.43733
2455370.500000000      91.42398  23.43136
2455371.500000000      92.46324  23.41852
2455372.500000000      93.50210  23.39882
2455373.500000000      94.54046  23.37226
2455374.500000000      95.57827  23.33886
2455375.500000000      96.61542  23.29863
2455376.500000000      97.65185  23.25158
2455377.500000000      98.68748  23.19774
2455378.500000000      99.72221  23.13712
2455379.500000000     100.75598  23.06974
2455380.500000000     101.78869  22.99564
2455381.500000000     102.82028  22.91485
2455382.500000000     103.85065  22.82738
2455383.500000000     104.87973  22.73329
2455384.500000000     105.90742  22.63260
2455385.500000000     106.93366  22.52535
2455386.500000000     107.95835  22.41159
2455387.500000000     108.98140  22.29137
2455388.500000000     110.00274  22.16474
2455389.500000000     111.02226  22.03175
2455390.500000000     112.03989  21.89245
2455391.500000000     113.05554  21.74691
2455392.500000000     114.06912  21.59519
2455393.500000000     115.08056  21.43734
2455394.500000000     116.08980  21.27345
2455395.500000000     117.09677  21.10356
2455396.500000000     118.10144  20.92774
2455397.500000000     119.10376  20.74606
2455398.500000000     120.10369  20.55858
2455399.500000000     121.10121  20.36537
2455400.500000000     122.09630  20.16649
2455401.500000000     123.08894  19.96201
2455402.500000000     124.07912  19.75200
2455403.500000000     125.06683  19.53652
2455404.500000000     126.05206  19.31564
2455405.500000000     127.03481  19.08944
2455406.500000000     128.01507  18.85798
2455407.500000000     128.99286  18.62134
2455408.500000000     129.96816  18.37958
2455409.500000000     130.94100  18.13280
2455410.500000000     131.91137  17.88105
2455411.500000000     132.87928  17.62442
2455412.500000000     133.84474  17.36300
2455413.500000000     134.80776  17.09685
2455414.500000000     135.76836  16.82606
2455415.500000000     136.72653  16.55072
2455416.500000000     137.68229  16.27091
2455417.500000000     138.63564  15.98673
2455418.500000000     139.58658  15.69827
2455419.500000000     140.53513  15.40562
2455420.500000000     141.48128  15.10887
2455421.500000000     142.42505  14.80813
2455422.500000000     143.36646  14.50347
2455423.500000000     144.30552  14.19500
2455424.500000000     145.24227  13.88280
2455425.500000000     146.17675  13.56697
2455426.500000000     147.10900  13.24758
2455427.500000000     148.03907  12.92472
2455428.500000000     148.96703  12.59848
2455429.500000000     149.89292  12.26894
2455430.500000000     150.81681  11.93619
2455431.500000000     151.73876  11.60030
2455432.500000000     152.65884  11.26136
2455433.500000000     153.57712  10.91945
2455434.500000000     154.49367  10.57465
2455435.500000000     155.40857  10.22705
2455436.500000000     156.32188   9.87674
2455437.500000000     157.23369   9.52378
2455438.500000000     158.14407   9.16828
2455439.500000000     159.05309   8.81032
2455440.500000000     159.96083   8.44997
2455441.500000000     160.86737   8.08734
2455442.500000000     161.77277   7.72250
2455443.500000000     162.67712   7.35555
2455444.500000000     163.58048   6.98658
2455445.500000000     164.48291   6.61570
2455446.500000000     165.38449   6.24298
2455447.500000000     166.28526   5.86855
2455448.500000000     167.18528   5.49248
2455449.500000000     168.08462   5.11490
2455450.500000000     168.98332   4.73589
2455451.500000000     169.88146   4.35555
2455452.500000000     170.77910   3.97398
2455453.500000000     171.67630   3.59128
2455454.500000000     172.57316   3.20753
2455455.500000000     173.46975   2.82283
2455456.500000000     174.36615   2.43726
2455457.500000000     175.26246   2.05091
2455458.500000000     176.15877   1.66388
2455459.500000000     177.05516   1.27625
2455460.500000000     177.95172   0.88810
2455461.500000000     178.84857   0.49953
2455462.500000000     179.74578   0.11062
2455463.500000000     180.64346  -0.27853
2455464.500000000     181.54171  -0.66784
2455465.500000000     182.44062  -1.05723
2455466.500000000     183.34029  -1.44659
2455467.500000000     184.24083  -1.83584
2455468.500000000     185.14231  -2.22489
2455469.500000000     186.04486  -2.61363
2455470.500000000     186.94854  -3.00199
2455471.500000000     187.85346  -3.38985
2455472.500000000     188.75970  -3.77712
2455473.500000000     189.66735  -4.16369
2455474.500000000     190.57648  -4.54947
2455475.500000000     191.48716  -4.93434
2455476.500000000     192.39946  -5.31820
2455477.500000000     193.31344  -5.70093
2455478.500000000     194.22916  -6.08242
2455479.500000000     195.14668  -6.46257
2455480.500000000     196.06607  -6.84127
2455481.500000000     196.98739  -7.21841
2455482.500000000     197.91071  -7.59388
2455483.500000000     198.83609  -7.96759
2455484.500000000     199.76362  -8.33942
2455485.500000000     200.69337  -8.70928
2455486.500000000     201.62541  -9.07705
2455487.500000000     202.55982  -9.44265
2455488.500000000     203.49668  -9.80597
2455489.500000000     204.43607 -10.16689
2455490.500000000     205.37805 -10.52533
2455491.500000000     206.32272 -10.88117
2455492.500000000     207.27015 -11.23432
2455493.500000000     208.22041 -11.58466
2455494.500000000     209.17359 -11.93210
2455495.500000000     210.12974 -12.27652
2455496.500000000     211.08896 -12.61782
2455497.500000000     212.05130 -12.95590
2455498.500000000     213.01683 -13.29063
2455499.500000000     213.98561 -13.62192
2455500.500000000     214.95769 -13.94964
2455501.500000000     215.93312 -14.27369
2455502.500000000     216.91195 -14.59394
2455503.500000000     217.89420 -14.91028
2455504.500000000     218.87989 -15.22259
2455505.500000000     219.86904 -15.53076
2455506.500000000     220.86167 -15.83465
2455507.500000000     221.85776 -16.13417
2455508.500000000     222.85733 -16.42918
2455509.500000000     223.86037 -16.71957
2455510.500000000     224.86689 -17.00523
2455511.500000000     225.87687 -17.28605
2455512.500000000     226.89032 -17.56191
2455513.500000000     227.90724 -17.83271
2455514.500000000     228.92762 -18.09834
2455515.500000000     229.95145 -18.35869
2455516.500000000     230.97873 -18.61366
2455517.500000000     232.00944 -18.86314
2455518.500000000     233.04358 -19.10703
2455519.500000000     234.08113 -19.34523
2455520.500000000     235.12207 -19.57763
2455521.500000000     236.16638 -19.80414
2455522.500000000     237.21405 -20.02465
2455523.500000000     238.26504 -20.23908
2455524.500000000     239.31933 -20.44732
2455525.500000000     240.37689 -20.64927
2455526.500000000     241.43767 -20.84485
2455527.500000000     242.50164 -21.03396
2455528.500000000     243.56874 -21.21651
2455529.500000000     244.63890 -21.39240
2455530.500000000     245.71206 -21.56155
2455531.500000000     246.78813 -21.72388
2455532.500000000     247.86702 -21.87929
2455533.500000000     248.94863 -22.02771
2455534.500000000     250.03286 -22.16906
2455535.500000000     251.11957 -22.30327
2455536.500000000     252.20866 -22.43025
2455537.500000000     253.29999 -22.54996
2455538.500000000     254.39343 -22.66231
2455539.500000000     255.48887 -22.76726
2455540.500000000     256.58615 -22.86475
2455541.500000000     257.68517 -22.95472
2455542.500000000     258.78577 -23.03714
2455543.500000000     259.88784 -23.11195
2455544.500000000     260.99124 -23.17912
2455545.500000000     262.09584 -23.23860
2455546.500000000     263.20151 -23.29038
2455547.500000000     264.30811 -23.33441
2455548.500000000     265.41551 -23.37068
2455549.500000000     266.52360 -23.39915
