# JD  RA Dec
2453567.500000000     115.35966  21.39326
2453568.500000000     116.36791  21.22774
2453569.500000000     117.37389  21.05623
2453570.500000000     118.37757  20.87882
2453571.500000000     119.37892  20.69556
2453572.500000000     120.37793  20.50652
2453573.500000000     121.37458  20.31175
2453574.500000000     122.36886  20.11133
2453575.500000000     123.36077  19.90532
2453576.500000000     124.35029  19.69379
2453577.500000000     125.33743  19.47679
2453578.500000000     126.32217  19.25440
2453579.500000000     127.30449  19.02668
2453580.500000000     128.28439  18.79372
2453581.500000000     129.26184  18.55559
2453582.500000000     130.23684  18.31235
2453583.500000000     131.20937  18.06410
2453584.500000000     132.17941  17.81092
2453585.500000000     133.14697  17.55288
2453586.500000000     134.11203  17.29007
2453587.500000000     135.07459  17.02258
2453588.500000000     136.03465  16.75049
2453589.500000000     136.99221  16.47389
2453590.500000000     137.94728  16.19286
2453591.500000000     138.89986  15.90751
2453592.500000000     139.84997  15.61792
2453593.500000000     140.79763  15.32417
2453594.500000000     141.74285  15.02637
2453595.500000000     142.68567  14.72460
2453596.500000000     143.62610  14.41894
2453597.500000000     144.56420  14.10950
2453598.500000000     145.50001  13.79636
2453599.500000000     146.43356  13.47960
2453600.500000000     147.36493  13.15931
2453601.500000000     148.29418  12.83557
2453602.500000000     149.22136  12.50846
2453603.500000000     150.14657  12.17806
2453604.500000000     151.06987  11.84445
2453605.500000000     151.99133  11.50770
2453606.500000000     152.91102  11.16789
2453607.500000000     153.82900  10.82512
2453608.500000000     154.74534  10.47945
2453609.500000000     155.66011  10.13099
2453610.500000000     156.57335   9.77981
2453611.500000000     157.48513   9.42601
2453612.500000000     158.39551   9.06968
2453613.500000000     159.30455   8.71090
2453614.500000000     160.21230   8.34978
2453615.500000000     161.11883   7.98640
2453616.500000000     162.02419   7.62087
2453617.500000000     162.92845   7.25327
2453618.500000000     163.83167   6.88370
2453619.500000000     164.73390   6.51226
2453620.500000000     165.63521   6.13905
2453621.500000000     166.53568   5.76416
2453622.500000000     167.43535   5.38770
2453623.500000000     168.33430   5.00975
2453624.500000000     169.23261   4.63042
2453625.500000000     170.13035   4.24980
2453626.500000000     171.02759   3.86798
2453627.500000000     171.92442   3.48505
2453628.500000000     172.82094   3.10111
2453629.500000000     173.71722   2.71624
2453630.500000000     174.61338   2.33052
2453631.500000000     175.50952   1.94403
2453632.500000000     176.40573   1.55687
2453633.500000000     177.30212   1.16910
2453634.500000000     178.19880   0.78082
2453635.500000000     179.09585   0.39210
2453636.500000000     179.99338   0.00304
2453637.500000000     180.89147  -0.38627
2453638.500000000     181.79022  -0.77574
2453639.500000000     182.68970  -1.16528
2453640.500000000     183.59000  -1.55478
2453641.500000000     184.49121  -1.94416
2453642.500000000     185.39340  -2.33331
2453643.500000000     186.29665  -2.72212
2453644.500000000     187.20104  -3.11051
2453645.500000000     188.10664  -3.49836
2453646.500000000     189.01353  -3.88558
2453647.500000000     189.92178  -4.27204
2453648.500000000     190.83146  -4.65766
2453649.500000000     191.74263  -5.04231
2453650.500000000     192.65538  -5.42589
2453651.500000000     193.56976  -5.80830
2453652.500000000     194.48585  -6.18942
2453653.500000000     195.40372  -6.56914
2453654.500000000     196.32345  -6.94737
2453655.500000000     197.24510  -7.32400
2453656.500000000     198.16876  -7.69893
2453657.500000000     199.09450  -8.07205
2453658.500000000     200.02243  -8.44327
2453659.500000000     200.95262  -8.81248
2453660.500000000     201.88517  -9.17961
2453661.500000000     202.82017  -9.54454
2453662.500000000     203.75770  -9.90718
2453663.500000000     204.69785 -10.26743
2453664.500000000     205.64071 -10.62519
2453665.500000000     206.58635 -10.98035
2453666.500000000     207.53484 -11.33282
2453667.500000000     208.48626 -11.68248
2453668.500000000     209.44066 -12.02921
2453669.500000000     210.39811 -12.37292
2453670.500000000     211.35866 -12.71349
2453671.500000000     212.32236 -13.05080
2453672.500000000     213.28926 -13.38474
2453673.500000000     214.25940 -13.71520
2453674.500000000     215.23282 -14.04204
2453675.500000000     216.20955 -14.36516
2453676.500000000     217.18962 -14.68444
2453677.500000000     218.17305 -14.99975
2453678.500000000     219.15985 -15.31098
2453679.500000000     220.15005 -15.61801
2453680.500000000     221.14365 -15.92071
2453681.500000000     222.14065 -16.21898
2453682.500000000     223.14108 -16.51269
2453683.500000000     224.14494 -16.80173
2453684.500000000     225.15223 -17.08599
2453685.500000000     226.16296 -17.36537
2453686.500000000     227.17716 -17.63975
2453687.500000000     228.19482 -17.90904
2453688.500000000     229.21596 -18.17313
2453689.500000000     230.24059 -18.43191
2453690.500000000     231.26871 -18.68530
2453691.500000000     232.30033 -18.93318
2453692.500000000     233.33545 -19.17546
2453693.500000000     234.37405 -19.41204
2453694.500000000     235.41613 -19.64281
2453695.500000000     236.46165 -19.86767
2453696.500000000     237.51059 -20.08653
2453697.500000000     238.56291 -20.29928
2453698.500000000     239.61857 -20.50583
2453699.500000000     240.67752 -20.70607
2453700.500000000     241.73970 -20.89991
2453701.500000000     242.80505 -21.08726
2453702.500000000     243.87348 -21.26801
2453703.500000000     244.94494 -21.44208
2453704.500000000     246.01931 -21.60938
2453705.500000000     247.09652 -21.76981
2453706.500000000     248.17645 -21.92330
2453707.500000000     249.25900 -22.06976
2453708.500000000     250.34405 -22.20911
2453709.500000000     251.43147 -22.34129
2453710.500000000     252.52115 -22.46621
2453711.500000000     253.61297 -22.58381
2453712.500000000     254.70680 -22.69404
2453713.500000000     255.80252 -22.79684
2453714.500000000     256.90003 -22.89215
2453715.500000000     257.99919 -22.97994
2453716.500000000     259.09991 -23.06015
2453717.500000000     260.20206 -23.13274
2453718.500000000     261.30554 -23.19769
2453719.500000000     262.41022 -23.25495
2453720.500000000     263.51600 -23.30449
2453721.500000000     264.62274 -23.34629
2453722.500000000     265.73034 -23.38032
2453723.500000000     266.83867 -23.40656
2453724.500000000     267.94759 -23.42499
2453725.500000000     269.05698 -23.43559
2453726.500000000     270.16671 -23.43836
2453727.500000000     271.27664 -23.43329
2453728.500000000     272.38662 -23.42038
2453729.500000000     273.49653 -23.39962
2453730.500000000     274.60621 -23.37102
2453731.500000000     275.71552 -23.33459
2453732.500000000     276.82432 -23.29034
2453733.500000000     277.93245 -23.23829
2453734.500000000     279.03976 -23.17846
2453735.500000000     280.14609 -23.11089
2453736.500000000     281.25130 -23.03559
2453737.500000000     282.35521 -22.95263
2453738.500000000     283.45767 -22.86202
2453739.500000000     284.55855 -22.76383
2453740.500000000     285.65769 -22.65811
2453741.500000000     286.75498 -22.54492
2453742.500000000     287.85028 -22.42431
2453743.500000000     288.94350 -22.29634
2453744.500000000     290.03451 -22.16109
2453745.500000000     291.12324 -22.01863
2453746.500000000     292.20959 -21.86901
2453747.500000000     293.29347 -21.71231
2453748.500000000     294.37481 -21.54861
2453749.500000000     295.45353 -21.37798
2453750.500000000     296.52957 -21.20051
2453751.500000000     297.60287 -21.01626
2453752.500000000     298.67335 -20.82533
2453753.500000000     299.74097 -20.62779
2453754.500000000     300.80566 -20.42374
2453755.500000000     301.86738 -20.21326
2453756.500000000     302.92608 -19.99644
2453757.500000000     303.98171 -19.77338
2453758.500000000     305.03423 -19.54417
2453759.500000000     306.08360 -19.30890
2453760.500000000     307.12978 -19.06768
2453761.500000000     308.17273 -18.82061
